"UNIVERSIDADE FEDERAL DE SÃO PAULO","UNIFESP","SP",TRUE,18,3,439,5
"UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL","UFRGS","RS",TRUE,46,42,415,5
"UNIVERSIDADE FEDERAL DE MINAS GERAIS","UFMG","MG",TRUE,46,42,413,5
"FUNDAÇÃO FACULDADE FEDERAL DE CIÊNCIAS MÉDICAS PORTO ALEGRE","UFCSPA","RS",TRUE,4,3,408,5
"UNIVERSIDADE FEDERAL DE LAVRAS","UFLA","MG",TRUE,12,10,404,5
"UNIVERSIDADE FEDERAL DE SÃO CARLOS","UFSCAR","SP",TRUE,29,20,403,5
"FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA","UFV","MG",TRUE,31,28,400,5
"UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO","UFTM","MG",TRUE,6,3,400,5
"UNIVERSIDADE FEDERAL DO RIO DE JANEIRO","UFRJ","RJ",TRUE,47,46,390,4
"UNIVERSIDADE DE BRASÍLIA","UnB","DF",TRUE,39,38,389,4
"UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI","UNIFEI","MG","Federal",10,10,389,4
"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO","PUC-Rio","RJ","Privada",30,26,387,4
"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO","PUCSP","SP","Privada",27,23,382,4
"UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO","UENF","RJ","Estadual",14,13,374,4
"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO","UNESP","SP","Estadual",110,100,374,4
"UNIVERSIDADE FEDERAL DE ALFENAS","UNIFAL-MG","MG","Federal",11,5,372,4
"UNIVERSIDADE FEDERAL DE SANTA CATARINA","UFSC","SC","Federal",39,37,372,4
"UNIVERSIDADE FEDERAL DE PERNAMBUCO","UFPE","PE","Federal",48,44,356,4
"UNIVERSIDADE ESTADUAL DE MARINGÁ","UEM","PR","Estadual",41,41,352,4
"UNIVERSIDADE FEDERAL DE OURO PRETO","UFOP","MG","Federal",23,22,350,4
"UNIVERSIDADE FEDERAL DE JUIZ DE FORA","UFJF","MG","Federal",28,28,349,4
"UNIVERSIDADE FEDERAL DE UBERLÂNDIA","UFU","MG","Federal",38,31,348,4
"UNIVERSIDADE FEDERAL DE SANTA MARIA","UFSM","RS","Federal",48,36,347,4
"UNIVERSIDADE FEDERAL DE GOIÁS","UFG","GO","Federal",64,47,345,4
"FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA","UDESC","SC","Estadual",26,25,343,4
"UNIVERSIDADE FEDERAL DO PARANÁ","UFPR","PR","Federal",46,42,340,4
"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE","UFRN","RN","Federal",50,43,340,4
"UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI","UFVJM","MG","Federal",14,8,339,4
"UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO","UNIRIO","RJ","Federal",15,13,339,4
"UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI","UFSJ","MG","Federal",20,13,334,4
"FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS","UFGD","MS","Federal",17,12,333,4
"UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO","UERJ","RJ","Estadual",45,43,333,4
"UNIVERSIDADE DO VALE DO RIO DOS SINOS","UNISINOS","RS","Privada",33,33,330,4
"UNIVERSIDADE FEDERAL DO CEARÁ","UFC","CE","Federal",42,35,329,4
"UNIVERSIDADE ESTADUAL DE LONDRINA","UEL","PR","Estadual",38,36,329,4
"UNIVERSIDADE FEDERAL FLUMINENSE","UFF","RJ","Federal",60,48,327,4
"UNIVERSIDADE FEDERAL DA BAHIA","UFBA","BA","Federal",46,38,325,4
"UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ","UNIOESTE","PR","Estadual",51,43,321,4
"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL","PUCRS","RS","Privada",53,44,321,4
"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO","UFRRJ","RJ","Federal",19,16,320,4
"UNIVERSIDADE FEDERAL DE PELOTAS","UFPel","RS","Federal",29,25,315,4
"UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL","UFMS","MS","Federal",64,58,314,4
"UNIVERSIDADE PRESBITERIANA MACKENZIE","MACKENZIE","SP","Privada",30,27,314,4
"FUNDAÇÃO UNIVERSIDADE FEDERAL DO RIO GRANDE","FURG","RS","Federal",21,20,313,4
"UNIVERSIDADE ESTADUAL DE PONTA GROSSA","UEPG","PR","Estadual",32,27,311,4
"UNIVERSIDADE ESTADUAL DE MONTES CLAROS","UNIMONTES","MG","Estadual",54,29,307,4
"UNIVERSIDADE FEDERAL DA PARAÍBA","UFPB","PB","Federal",45,37,305,4
"UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO","UFES","ES","Federal",52,37,304,4
"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS","PUC Minas","MG","Privada",75,62,303,4
"UNIVERSIDADE DE SANTA CRUZ DO SUL","UNISC","RS","Privada",46,33,302,4
"UNIVERSIDADE LUTERANA DO BRASIL","ULBRA","RS","Privada",120,92,302,4
"UNIVERSIDADE ESTADUAL DE SANTA CRUZ","UESC","BA","Estadual",22,21,298,4
"UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ","UTFPR","PR","Federal",51,22,298,4
"UNIVERSIDADE DE CAXIAS DO SUL","UCS","RS","Privada",71,60,297,4
"UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL","UERGS","RS","Estadual",32,4,297,4
"UNIVERSIDADE FEDERAL DE CAMPINA GRANDE","UFCG","PB","Federal",43,32,294,3
"UNIVERSIDADE CATÓLICA DE BRASÍLIA","UCB","DF","Privada",28,24,292,3
"FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA","UNIR","RO","Federal",33,24,292,3
"UNIVERSIDADE POSITIVO","UP","PR","Privada",23,22,288,3
"UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO","UFRPE","PE","Federal",25,14,286,3
"UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL","UNIJUI","RS","Privada",48,43,286,3
"UNIVERSIDADE FEDERAL DE MATO GROSSO","UFMT","MT","Federal",70,48,285,3
"UNIVERSIDADE ESTADUAL DO CENTRO OESTE","UNICENTRO","PR","Estadual",51,41,285,3
"UNIVERSIDADE FEDERAL DO PIAUÍ","UFPI","PI","Federal",50,34,282,3
"UNIVERSIDADE DO VALE DO ITAJAÍ","UNIVALI","SC","Privada",56,48,281,3
"UNIVERSIDADE METODISTA DE SÃO PAULO","UMESP","SP","Privada",32,26,281,3
"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ","PUCPR","PR","Privada",64,49,278,3
"UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO","UFERSA","RN","Federal",8,3,278,3
"UNIVERSIDADE FEDERAL DO AMAZONAS","UFAM","AM","Federal",54,35,276,3
"UNIVERSIDADE DO ESTADO DE MINAS GERAIS","UEMG","MG","Estadual",6,3,276,3
"UNIVERSIDADE FEDERAL DO ACRE","UFAC","AC","Federal",23,20,274,3
"UNIVERSIDADE DA REGIÃO DE JOINVILLE","UNIVILLE","SC","Privada",26,21,272,3
"UNIVERSIDADE DE PASSO FUNDO","UPF","RS","Privada",81,57,270,3
"UNIVERSIDADE DE FORTALEZA","UNIFOR","CE","Privada",31,26,268,3
"UNIVERSIDADE COMUNITÁRIA REGIONAL DE CHAPECÓ","UNOCHAPECÓ","SC","Privada",31,26,268,3
"UNIVERSIDADE NORTE DO PARANÁ","UNOPAR","PR","Privada",36,23,267,3
"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS","PUC-Campinas","SP","Privada",35,35,267,3
"UNIVERSIDADE FEDERAL DO MARANHÃO","UFMA","MA","Federal",39,31,266,3
"UNIVERSIDADE REGIONAL DE BLUMENAU","FURB","SC","Municipal",39,32,266,3
"UNIVERSIDADE FEDERAL DE RORAIMA","UFRR","RR","Federal",21,17,263,3
"UNIVERSIDADE SALVADOR","UNIFACS","BA","Privada",26,20,262,3
"UNIVERSIDADE SÃO JUDAS TADEU","USJT","SP","Privada",30,26,262,3
"UNIVERSIDADE DO VALE DO PARAÍBA","UNIVAP","SP","Privada",45,33,261,3
"UNIVERSIDADE FUMEC","FUMEC","MG","Privada",21,16,259,3
"UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL","UEMS","MS","Estadual",47,32,259,3
"UNIVERSIDADE FEDERAL DE ALAGOAS","UFAL","AL","Federal",49,32,258,3
"UNIVERSIDADE CATÓLICA DE PERNAMBUCO","UNICAP","PE","Privada",27,24,258,3
"UNIVERSIDADE CATÓLICA DOM BOSCO","UCDB","MS","Privada",37,24,257,3
"UNIVERSIDADE CATÓLICA DE PELOTAS","UCPEL","RS","Privada",28,22,257,3
"UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES","URI","RS","Privada",72,58,256,3
"UNIVERSIDADE FEDERAL DE SERGIPE","UFS","SE","Federal",52,29,256,3
"UNIVERSIDADE DE RIBEIRÃO PRETO","UNAERP","SP","Privada",34,30,256,3
"UNIVERSIDADE METODISTA DE PIRACICABA","UNIMEP","SP","Privada",38,33,256,3
"UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA","UESB","BA","Estadual",33,23,255,3
"UNIVERSIDADE DE MARÍLIA","UNIMAR","SP","Privada",30,27,255,3
"UNIVERSIDADE METROPOLITANA DE SANTOS","UNIMES","SP","Privada",17,11,253,3
"UNIVERSIDADE DO ESTADO DA BAHIA","UNEB","BA","Estadual",116,53,252,3
"UNIVERSIDADE POTIGUAR","UnP","RN","Privada",29,21,252,3
"UNIVERSIDADE VEIGA DE ALMEIDA","UVA","RJ","Privada",37,31,251,3
"UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY","UNIGRANRIO","RJ","Privada",34,26,251,3
"UNIVERSIDADE CATÓLICA DE PETRÓPOLIS","UCP","RJ","Privada",23,16,248,3
"UNIVERSIDADE FEDERAL DO PARÁ","UFPA","PA","Federal",93,62,247,3
"UNIVERSIDADE DO OESTE DE SANTA CATARINA","UNOESC","SC","Privada",87,46,247,3
"UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE","UERN","RN","Estadual",69,36,246,3
"UNIVERSIDADE ESTADUAL DO CEARÁ","UECE","CE","Estadual",49,44,245,3
"UNIVERSIDADE ESTADUAL DA PARAÍBA","UEPB","PB","Estadual",31,25,245,3
"UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL","USCS","SP","Municipal",16,15,243,3
"UNIVERSIDADE DE TAUBATÉ","UNITAU","SP","Municipal",39,31,243,3
"UNIVERSIDADE DO SUL DE SANTA CATARINA","UNISUL","SC","Municipal",83,61,242,3
"FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS","UFT","TO","Federal",28,25,242,3
"UNIVERSIDADE DE ITAÚNA","UI","MG","Privada",18,13,241,3
"UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA","UFRA","PA","Federal",5,4,240,3
"UNIVERSIDADE DO OESTE PAULISTA","UNOESTE","SP","Privada",32,30,239,3
"UNIVERSIDADE CATÓLICA DE GOIÁS","UCG","GO","Privada",37,31,237,3
"UNIVERSIDADE DO SAGRADO CORAÇÃO","USC","SP","Privada",28,23,235,3
"UNIVERSIDADE SÃO FRANCISCO","USF","SP","Privada",39,28,234,3
"UNIVERSIDADE PARA O DESENVOLVIMENTO DO ESTADO E DA REGIÃO DO PANTANAL","UNIDERP","MS","Privada",32,29,233,3
